0	0398
1	0559
2	0177
3	070
4	084
5	01429
6	01434
7	0463
8	0449
9	01253
10	0696
11	01233
12	0470
13	064
14	01091
15	0505
16	01119
17	01179
18	0446
19	0932
20	0243
21	0189
22	0564
23	0394
24	049
25	01383
26	034
27	01340
28	0502
29	01218
30	0682
31	0173
32	0401
33	079
34	01326
35	0388
36	01143
37	0600
38	0468
39	071
40	01299
41	0835
42	01023
43	068
44	0149
45	0153
46	0540
47	0572
48	0136
49	01223
50	01353
51	0390
52	0952
53	0133
54	0874
55	01198
56	0858
57	0943
58	0499
59	0563
60	0810
61	0414
62	0497
63	0118
64	01159
65	057
66	0176
67	0691
68	0383
69	0573
70	028
71	053
72	0615
73	01419
74	0407
75	0349
76	0381
77	01081
78	0404
79	0406
80	0318
81	0536
82	0473
83	0418
84	0865
85	0248
86	00
87	0192
88	0951
89	013
90	01315
91	0262
92	0537
93	0157
94	01204
95	0607
96	01161
97	0359
98	0218
99	0656
100	0324
101	01413
102	0465
103	0330
104	01290
105	0517
106	0253
107	0618
108	082
109	01367
110	0467
111	0529
112	063
113	0294
114	0155
115	0354
116	01350
117	0433
118	0784
119	091
120	0358
121	0828
122	0623
123	0165
124	054
125	0313
126	0175
127	01055
128	0226
129	0100
130	01155
131	01412
132	01342
133	0966
134	0216
135	0892
136	0355
137	0460
138	0412
139	01398
140	0297
141	01162
142	051
143	0702
144	01386
145	0417
146	0969
147	01330
148	0421
149	0973
150	01437
151	0409
152	0228
153	0722
154	0386
155	07
156	0451
157	031
158	0793
159	0716
160	01344
161	06
162	0663
163	0634
164	0106
165	0761
166	01194
167	0647
168	01137
169	01373
170	0685
171	0518
172	0928
173	0115
174	0342
175	01317
176	0611
177	0457
178	011
179	0287
180	01295
181	0594
182	0516
183	0142
184	0667
185	01343
186	0345
187	0895
188	03
189	0638
190	01205
191	01045
192	0426
193	0636
194	01209
195	01147
196	0508
197	020
198	0914
199	0257
200	01269
201	01112
202	0344
203	01074
204	0520
205	0317
206	0103
207	0328
208	0477
209	021
210	0718
211	0674
212	0242
213	0201
