0000001	All	http://purl.obolibrary.org/obo/HP_0000001
0000002	Abnormality of body height	http://purl.obolibrary.org/obo/HP_0000002
0000003	Multicystic kidney dysplasia	http://purl.obolibrary.org/obo/HP_0000003
0000005	Mode of inheritance	http://purl.obolibrary.org/obo/HP_0000005
0000006	Autosomal dominant inheritance	http://purl.obolibrary.org/obo/HP_0000006
0000007	Autosomal recessive inheritance	http://purl.obolibrary.org/obo/HP_0000007
0000008	Abnormal morphology of female internal genitalia	http://purl.obolibrary.org/obo/HP_0000008
0000009	Functional abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000009
0000010	Recurrent urinary tract infections	http://purl.obolibrary.org/obo/HP_0000010
0000011	Neurogenic bladder	http://purl.obolibrary.org/obo/HP_0000011
0000012	Urinary urgency	http://purl.obolibrary.org/obo/HP_0000012
0000013	Hypoplasia of the uterus	http://purl.obolibrary.org/obo/HP_0000013
0000014	Abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000014
0000015	Bladder diverticulum	http://purl.obolibrary.org/obo/HP_0000015
0000016	Urinary retention	http://purl.obolibrary.org/obo/HP_0000016
0000017	Nocturia	http://purl.obolibrary.org/obo/HP_0000017
0000019	Urinary hesitancy	http://purl.obolibrary.org/obo/HP_0000019
0000020	Urinary incontinence	http://purl.obolibrary.org/obo/HP_0000020
0000021	Megacystis	http://purl.obolibrary.org/obo/HP_0000021
0000022	Abnormality of male internal genitalia	http://purl.obolibrary.org/obo/HP_0000022
0000023	Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023
0000024	Prostatitis	http://purl.obolibrary.org/obo/HP_0000024
0000025	Functional abnormality of male internal genitalia	http://purl.obolibrary.org/obo/HP_0000025
0000026	Male hypogonadism	http://purl.obolibrary.org/obo/HP_0000026
0000027	Azoospermia	http://purl.obolibrary.org/obo/HP_0000027
0000028	Cryptorchidism	http://purl.obolibrary.org/obo/HP_0000028
0000029	Testicular atrophy	http://purl.obolibrary.org/obo/HP_0000029
0000030	Testicular gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000030
0000031	Epididymitis	http://purl.obolibrary.org/obo/HP_0000031
0000032	Abnormality of male external genitalia	http://purl.obolibrary.org/obo/HP_0000032
0000033	Ambiguous genitalia, male	http://purl.obolibrary.org/obo/HP_0000033
0000034	Hydrocele testis	http://purl.obolibrary.org/obo/HP_0000034
0000035	Abnormal testis morphology	http://purl.obolibrary.org/obo/HP_0000035
0000036	Abnormality of the penis	http://purl.obolibrary.org/obo/HP_0000036
0000037	Male pseudohermaphroditism	http://purl.obolibrary.org/obo/HP_0000037
0000039	Epispadias	http://purl.obolibrary.org/obo/HP_0000039
0000040	Long penis	http://purl.obolibrary.org/obo/HP_0000040
0000041	Chordee	http://purl.obolibrary.org/obo/HP_0000041
0000042	Absent external genitalia	http://purl.obolibrary.org/obo/HP_0000042
0000044	obsolete Low gonadotropins (secondary hypogonadism)	http://purl.obolibrary.org/obo/HP_0000044
0000045	Abnormality of the scrotum	http://purl.obolibrary.org/obo/HP_0000045
0000046	Scrotal hypoplasia	http://purl.obolibrary.org/obo/HP_0000046
0000047	Hypospadias	http://purl.obolibrary.org/obo/HP_0000047
0000048	Bifid scrotum	http://purl.obolibrary.org/obo/HP_0000048
0000049	Shawl scrotum	http://purl.obolibrary.org/obo/HP_0000049
0000050	Hypoplastic male external genitalia	http://purl.obolibrary.org/obo/HP_0000050
0000051	Perineal hypospadias	http://purl.obolibrary.org/obo/HP_0000051
0000052	Urethral atresia, male	http://purl.obolibrary.org/obo/HP_0000052
0000053	Macroorchidism	http://purl.obolibrary.org/obo/HP_0000053
0000054	Micropenis	http://purl.obolibrary.org/obo/HP_0000054
0000055	Abnormality of female external genitalia	http://purl.obolibrary.org/obo/HP_0000055
0000056	Abnormality of the clitoris	http://purl.obolibrary.org/obo/HP_0000056
0000057	obsolete Clitoromegaly	http://purl.obolibrary.org/obo/HP_0000057
0000058	Abnormality of the labia	http://purl.obolibrary.org/obo/HP_0000058
0000059	Hypoplastic labia majora	http://purl.obolibrary.org/obo/HP_0000059
0000060	Clitoral hypoplasia	http://purl.obolibrary.org/obo/HP_0000060
0000061	Ambiguous genitalia, female	http://purl.obolibrary.org/obo/HP_0000061
0000062	Ambiguous genitalia	http://purl.obolibrary.org/obo/HP_0000062
0000063	Fused labia minora	http://purl.obolibrary.org/obo/HP_0000063
0000064	Hypoplastic labia minora	http://purl.obolibrary.org/obo/HP_0000064
0000065	Labial hypertrophy	http://purl.obolibrary.org/obo/HP_0000065
0000066	Labial hypoplasia	http://purl.obolibrary.org/obo/HP_0000066
0000067	Urethral atresia, female	http://purl.obolibrary.org/obo/HP_0000067
0000068	Urethral atresia	http://purl.obolibrary.org/obo/HP_0000068
0000069	Abnormality of the ureter	http://purl.obolibrary.org/obo/HP_0000069
0000070	Ureterocele	http://purl.obolibrary.org/obo/HP_0000070
0000071	Ureteral stenosis	http://purl.obolibrary.org/obo/HP_0000071
0000072	Hydroureter	http://purl.obolibrary.org/obo/HP_0000072
0000073	Ureteral duplication	http://purl.obolibrary.org/obo/HP_0000073
0000074	Ureteropelvic junction obstruction	http://purl.obolibrary.org/obo/HP_0000074
0000075	Renal duplication	http://purl.obolibrary.org/obo/HP_0000075
0000076	Vesicoureteral reflux	http://purl.obolibrary.org/obo/HP_0000076
0000077	Abnormality of the kidney	http://purl.obolibrary.org/obo/HP_0000077
0000078	Abnormality of the genital system	http://purl.obolibrary.org/obo/HP_0000078
0000079	Abnormality of the urinary system	http://purl.obolibrary.org/obo/HP_0000079
0000080	Abnormality of reproductive system physiology	http://purl.obolibrary.org/obo/HP_0000080
0000081	Duplicated collecting system	http://purl.obolibrary.org/obo/HP_0000081
