0001816	angiosarcoma	http://purl.obolibrary.org/obo/DOID_0001816
0002116	pterygium	http://purl.obolibrary.org/obo/DOID_0002116
0014667	disease of metabolism	http://purl.obolibrary.org/obo/DOID_0014667
0040001	shrimp allergy	http://purl.obolibrary.org/obo/DOID_0040001
0040002	aspirin allergy	http://purl.obolibrary.org/obo/DOID_0040002
0040003	benzylpenicillin allergy	http://purl.obolibrary.org/obo/DOID_0040003
0040004	amoxicillin allergy	http://purl.obolibrary.org/obo/DOID_0040004
0040005	ceftriaxone allergy	http://purl.obolibrary.org/obo/DOID_0040005
0040006	carbamazepine allergy	http://purl.obolibrary.org/obo/DOID_0040006
0040007	abacavir allergy	http://purl.obolibrary.org/obo/DOID_0040007
0040008	isoniazide allergy	http://purl.obolibrary.org/obo/DOID_0040008
0040009	lidocaine allergy	http://purl.obolibrary.org/obo/DOID_0040009
0040010	mepivacaine allergy	http://purl.obolibrary.org/obo/DOID_0040010
0040011	phenobarbital allergy	http://purl.obolibrary.org/obo/DOID_0040011
0040012	phenytoin allergy	http://purl.obolibrary.org/obo/DOID_0040012
0040013	ranitidine allergy	http://purl.obolibrary.org/obo/DOID_0040013
0040014	corticosteroid allergy	http://purl.obolibrary.org/obo/DOID_0040014
0040015	sulfonamide allergy	http://purl.obolibrary.org/obo/DOID_0040015
0040016	sulfamethoxazole allergy	http://purl.obolibrary.org/obo/DOID_0040016
0040017	suprofen allergy	http://purl.obolibrary.org/obo/DOID_0040017
0040018	thiopental allergy	http://purl.obolibrary.org/obo/DOID_0040018
0040019	d-mannitol allergy	http://purl.obolibrary.org/obo/DOID_0040019
0040020	cefotaxime allergy	http://purl.obolibrary.org/obo/DOID_0040020
0040021	cephalosporin allergy	http://purl.obolibrary.org/obo/DOID_0040021
0040022	amodiaquine allergy	http://purl.obolibrary.org/obo/DOID_0040022
0040023	cefaclor allergy	http://purl.obolibrary.org/obo/DOID_0040023
0040024	ceftazidime allergy	http://purl.obolibrary.org/obo/DOID_0040024
0040025	cefuroxime allergy	http://purl.obolibrary.org/obo/DOID_0040025
0040026	chlorhexidine allergy	http://purl.obolibrary.org/obo/DOID_0040026
0040027	cyclophosphamide allergy	http://purl.obolibrary.org/obo/DOID_0040027
0040028	succinylcholine allergy	http://purl.obolibrary.org/obo/DOID_0040028
0040029	trimethoprim allergy	http://purl.obolibrary.org/obo/DOID_0040029
0040030	cefixime allergy	http://purl.obolibrary.org/obo/DOID_0040030
0040031	diclofenac allergy	http://purl.obolibrary.org/obo/DOID_0040031
0040032	carbapenem allergy	http://purl.obolibrary.org/obo/DOID_0040032
0040033	piperacillin allergy	http://purl.obolibrary.org/obo/DOID_0040033
0040034	rocuronium allergy	http://purl.obolibrary.org/obo/DOID_0040034
0040035	sulfasalazine allergy	http://purl.obolibrary.org/obo/DOID_0040035
0040036	tubocurarine allergy	http://purl.obolibrary.org/obo/DOID_0040036
0040037	aztreonam allergy	http://purl.obolibrary.org/obo/DOID_0040037
0040038	meropenem allergy	http://purl.obolibrary.org/obo/DOID_0040038
0040040	hexamethylene diisocyanate allergic asthma	http://purl.obolibrary.org/obo/DOID_0040040
0040041	isocyanates allergic asthma	http://purl.obolibrary.org/obo/DOID_0040041
0040042	diphenylmethane-4,4'-diisocyanate allergic asthma	http://purl.obolibrary.org/obo/DOID_0040042
0040043	toluene meta-diisocyanate allergic asthma	http://purl.obolibrary.org/obo/DOID_0040043
0040044	methyl isocyanate allergic asthma	http://purl.obolibrary.org/obo/DOID_0040044
0040045	nickel allergic asthma	http://purl.obolibrary.org/obo/DOID_0040045
0040046	nickel allergic contact dermatitis	http://purl.obolibrary.org/obo/DOID_0040046
0040047	trimellitic anhydride allergic asthma	http://purl.obolibrary.org/obo/DOID_0040047
0040048	phthalic anhydride allergic asthma	http://purl.obolibrary.org/obo/DOID_0040048
0040049	maleic anhydride allergic asthma	http://purl.obolibrary.org/obo/DOID_0040049
0040050	tetrachlorophthalic anhydride allergic asthma	http://purl.obolibrary.org/obo/DOID_0040050
0040051	hexahydrophthalic anhydride allergic asthma	http://purl.obolibrary.org/obo/DOID_0040051
0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis	http://purl.obolibrary.org/obo/DOID_0040052
0040053	cobalt allergic contact dermatitis	http://purl.obolibrary.org/obo/DOID_0040053
